Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Bachelors,2071,0.8093,0.8024,0.3984,0.4153,0.2500,0.1486,0.7500,0.8514
9th,187,0.9679,0.4918,0.0000,0.0321,1.0000,0.0000,0.0000,1.0000
HS-grad,4011,0.8644,0.6929,0.0952,0.1576,0.6282,0.0435,0.3718,0.9565
Assoc-voc,497,0.8089,0.7353,0.2072,0.2656,0.4697,0.0904,0.5303,0.9096
Prof-school,224,0.8705,0.8358,0.7589,0.7009,0.0510,0.3134,0.9490,0.6866
10th,355,0.9352,0.6880,0.0310,0.0789,0.7143,0.0092,0.2857,0.9908
Some-college,2683,0.8565,0.7357,0.1413,0.1826,0.5061,0.0625,0.4939,0.9375
7th-8th,249,0.9157,0.5578,0.0120,0.0884,0.9091,0.0044,0.0909,0.9956
Masters,637,0.8038,0.8025,0.5228,0.5589,0.2079,0.1815,0.7921,0.8185
11th,442,0.9593,0.6895,0.0204,0.0475,0.7143,0.0071,0.2857,0.9929
5th-6th,99,0.9091,0.4762,0.0000,0.0909,1.0000,0.0000,0.0000,1.0000
Assoc-acdm,379,0.8153,0.7277,0.1900,0.2427,0.4891,0.0871,0.5109,0.9129
Preschool,22,1.0000,1.0000,0.0455,0.0455,0.0000,0.0000,1.0000,1.0000
12th,154,0.9481,0.7640,0.0325,0.0844,0.6154,0.0000,0.3846,1.0000
Doctorate,155,0.7355,0.6851,0.7419,0.6581,0.1373,0.5094,0.8627,0.4906
1st-4th,46,0.9783,0.4945,0.0000,0.0217,1.0000,0.0000,0.0000,1.0000
