Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Other-service,1248,0.9599,0.6221,0.0104,0.0441,0.8364,0.0034,0.1636,0.9966
Farming-fishing,370,0.8892,0.7095,0.0892,0.1243,0.5870,0.0432,0.4130,0.9568
Sales,1368,0.8311,0.7677,0.2156,0.2617,0.4106,0.0832,0.5894,0.9168
Exec-managerial,1472,0.7962,0.7960,0.4599,0.5061,0.2470,0.1596,0.7530,0.8404
Craft-repair,1564,0.8024,0.6873,0.1720,0.2212,0.5578,0.0952,0.4422,0.9048
Prof-specialty,1568,0.8138,0.8081,0.3980,0.4298,0.2537,0.1353,0.7463,0.8647
Machine-op-inspct,727,0.8624,0.6410,0.0660,0.1486,0.7407,0.0323,0.2593,0.9677
Tech-support,394,0.8223,0.7700,0.2208,0.3020,0.4286,0.0691,0.5714,0.9309
Adm-clerical,1413,0.9016,0.7705,0.1111,0.1331,0.4521,0.0441,0.5479,0.9559
Missing,715,0.9217,0.7331,0.0629,0.0965,0.5797,0.0248,0.4203,0.9752
Handlers-cleaners,514,0.9475,0.7314,0.0331,0.0700,0.6389,0.0084,0.3611,0.9916
Transport-moving,576,0.8281,0.6893,0.1441,0.1875,0.5741,0.0791,0.4259,0.9209
Protective-serv,229,0.7642,0.7014,0.2489,0.2926,0.4776,0.1358,0.5224,0.8642
Priv-house-serv,52,0.9615,0.8231,0.0577,0.0577,0.3333,0.0204,0.6667,0.9796
Armed-Forces,1,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
