Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
White + Female,3261,0.9264,0.8035,0.0889,0.1202,0.4362,0.0241,0.5638,0.9759
Black + Male,600,0.8833,0.7733,0.1250,0.1783,0.4766,0.0385,0.5234,0.9615
White + Male,7181,0.8126,0.7742,0.2721,0.3158,0.3660,0.1050,0.6340,0.8950
Black + Female,586,0.9556,0.7851,0.0461,0.0631,0.4865,0.0146,0.5135,0.9854
Amer-Indian-Eskimo + Male,73,0.9041,0.7045,0.1096,0.0685,0.4000,0.0735,0.6000,0.9265
Asian-Pac-Islander + Female,131,0.9237,0.7519,0.0458,0.1221,0.6250,0.0000,0.3750,1.0000
Amer-Indian-Eskimo + Female,53,0.9057,0.6964,0.0566,0.1132,0.6667,0.0213,0.3333,0.9787
Asian-Pac-Islander + Male,238,0.7899,0.7530,0.2773,0.3361,0.4000,0.1139,0.6000,0.8861
Other + Female,26,0.9231,0.7292,0.0769,0.0769,0.5000,0.0417,0.5000,0.9583
Other + Male,62,0.9032,0.7584,0.0806,0.1452,0.5556,0.0189,0.4444,0.9811
