Age,Workclass,Final Weight,Education,Education Number of Years,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Income,Age_original,combined_group,sample_weight,Race_Sex_combined,Age_Sex_combined
Early Adulthood,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K,39,Early Adulthood_State-gov_Bachelors_Never-married_Adm-clerical_Not-in-family_White_Male_United-States,0.5,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K,50,Midlife_Self-emp-not-inc_Bachelors_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,1.25,White_Male,Midlife_Male
Early Adulthood,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,38,Early Adulthood_Private_HS-grad_Divorced_Handlers-cleaners_Not-in-family_White_Male_United-States,0.5,White_Male,Early Adulthood_Male
Midlife,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K,53,Midlife_Private_11th_Married-civ-spouse_Handlers-cleaners_Husband_Black_Male_United-States,0.5,Black_Male,Midlife_Male
Early Adulthood,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K,28,Early Adulthood_Private_Bachelors_Married-civ-spouse_Prof-specialty_Wife_Black_Female_Cuba,0.5,Black_Female,Early Adulthood_Female
Early Adulthood,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K,37,Early Adulthood_Private_Masters_Married-civ-spouse_Exec-managerial_Wife_White_Female_United-States,2.0,White_Female,Early Adulthood_Female
Midlife,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,<=50K,49,Midlife_Private_9th_Married-spouse-absent_Other-service_Not-in-family_Black_Female_Jamaica,0.5,Black_Female,Midlife_Female
Midlife,Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,52,Midlife_Self-emp-not-inc_HS-grad_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,1.65625,White_Male,Midlife_Male
Early Adulthood,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,>50K,31,Early Adulthood_Private_Masters_Never-married_Prof-specialty_Not-in-family_White_Female_United-States,2.75,White_Female,Early Adulthood_Female
Midlife,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,>50K,42,Midlife_Private_Bachelors_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.5631970260223048,White_Male,Midlife_Male
