Age,Workclass,Final Weight,Education,Education Number of Years,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Age_original,Income,Race_Sex_combined,Age_Sex_combined
Early Adulthood,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,39,<=50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,50,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,38,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,53,<=50K,Black_Male,Midlife_Male
Early Adulthood,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,28,<=50K,Black_Female,Early Adulthood_Female
Early Adulthood,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,37,<=50K,White_Female,Early Adulthood_Female
Midlife,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,49,<=50K,Black_Female,Midlife_Female
Midlife,Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,52,>50K,White_Male,Midlife_Male
Early Adulthood,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,31,>50K,White_Female,Early Adulthood_Female
Midlife,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,42,>50K,White_Male,Midlife_Male
Early Adulthood,Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States,37,>50K,Black_Male,Early Adulthood_Male
Early Adulthood,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,30,>50K,Asian-Pac-Islander_Male,Early Adulthood_Male
Youth,Private,122272,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,23,<=50K,White_Female,Youth_Female
Early Adulthood,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,32,<=50K,Black_Male,Early Adulthood_Male
Early Adulthood,Private,121772,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,?,40,>50K,Asian-Pac-Islander_Male,Early Adulthood_Male
Early Adulthood,Private,245487,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,34,<=50K,Amer-Indian-Eskimo_Male,Early Adulthood_Male
Youth,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,25,<=50K,White_Male,Youth_Male
Early Adulthood,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,32,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,28887,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,38,<=50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,43,>50K,White_Female,Midlife_Female
Early Adulthood,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,40,>50K,White_Male,Early Adulthood_Male
Midlife,Private,302146,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,54,<=50K,Black_Female,Midlife_Female
Early Adulthood,Federal-gov,76845,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,35,<=50K,Black_Male,Early Adulthood_Male
Midlife,Private,117037,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,43,<=50K,White_Male,Midlife_Male
