Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Bachelors,2071,0.7861,0.7753,0.3655,0.4153,0.3174,0.1404,0.6826,0.8596
9th,187,0.9679,0.4918,0.0000,0.0321,1.0000,0.0000,0.0000,1.0000
HS-grad,4011,0.8586,0.7073,0.1234,0.1576,0.5570,0.0636,0.4430,0.9364
Assoc-voc,497,0.8189,0.7528,0.2173,0.2656,0.4318,0.0904,0.5682,0.9096
Prof-school,224,0.8571,0.8233,0.7366,0.7009,0.0764,0.2985,0.9236,0.7015
10th,355,0.9211,0.6608,0.0451,0.0789,0.7143,0.0245,0.2857,0.9755
Some-college,2683,0.8565,0.7428,0.1524,0.1826,0.4755,0.0693,0.5245,0.9307
7th-8th,249,0.9197,0.5942,0.0161,0.0884,0.8636,0.0044,0.1364,0.9956
Masters,637,0.7865,0.7861,0.4835,0.5589,0.2584,0.1566,0.7416,0.8434
11th,442,0.9570,0.7010,0.0271,0.0475,0.6667,0.0119,0.3333,0.9881
5th-6th,99,0.9091,0.4762,0.0000,0.0909,1.0000,0.0000,0.0000,1.0000
Assoc-acdm,379,0.8021,0.7043,0.1821,0.2427,0.5326,0.0906,0.4674,0.9094
Preschool,22,1.0000,1.0000,0.0455,0.0455,0.0000,0.0000,1.0000,1.0000
12th,154,0.9481,0.7640,0.0325,0.0844,0.6154,0.0000,0.3846,1.0000
Doctorate,155,0.7290,0.6961,0.6710,0.6581,0.1961,0.4151,0.8039,0.5849
1st-4th,46,0.9783,0.4945,0.0000,0.0217,1.0000,0.0000,0.0000,1.0000
