Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Other-service,1248,0.9519,0.6542,0.0280,0.0441,0.7273,0.0168,0.2727,0.9832
Farming-fishing,370,0.8486,0.6649,0.1351,0.1243,0.5652,0.0926,0.4348,0.9074
Sales,1368,0.8282,0.7632,0.2142,0.2617,0.4190,0.0842,0.5810,0.9158
Exec-managerial,1472,0.7758,0.7749,0.4314,0.5061,0.2953,0.1513,0.7047,0.8487
Craft-repair,1564,0.8024,0.6996,0.1937,0.2212,0.5087,0.1092,0.4913,0.8908
Prof-specialty,1568,0.8048,0.7970,0.3737,0.4298,0.2923,0.1219,0.7077,0.8781
Machine-op-inspct,727,0.8556,0.6718,0.1032,0.1486,0.6389,0.0582,0.3611,0.9418
Tech-support,394,0.8249,0.7633,0.1878,0.3020,0.4790,0.0436,0.5210,0.9564
Adm-clerical,1413,0.8946,0.7490,0.1054,0.1331,0.5000,0.0449,0.5000,0.9551
?,715,0.9105,0.7174,0.0769,0.0965,0.5652,0.0387,0.4348,0.9613
Handlers-cleaners,514,0.9358,0.7290,0.0564,0.0700,0.5556,0.0272,0.4444,0.9728
Transport-moving,576,0.8351,0.7224,0.1753,0.1875,0.4722,0.0940,0.5278,0.9060
Protective-serv,229,0.7860,0.7404,0.2882,0.2926,0.3731,0.1481,0.6269,0.8519
Priv-house-serv,52,0.9808,0.8949,0.0385,0.0577,0.3333,0.0000,0.6667,1.0000
Armed-Forces,1,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
