Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
White + Female,3261,0.9175,0.7777,0.0868,0.1202,0.4821,0.0279,0.5179,0.9721
Black + Male,600,0.8733,0.7493,0.1183,0.1783,0.5234,0.0406,0.4766,0.9594
White + Male,7181,0.8035,0.7639,0.2748,0.3158,0.3761,0.1136,0.6239,0.8864
Black + Female,586,0.9642,0.8239,0.0444,0.0631,0.4324,0.0091,0.5676,0.9909
Amer-Indian-Eskimo + Male,73,0.8904,0.7192,0.1507,0.0685,0.2000,0.1029,0.8000,0.8971
Asian-Pac-Islander + Female,131,0.9008,0.6902,0.0534,0.1221,0.6875,0.0174,0.3125,0.9826
Amer-Indian-Eskimo + Female,53,0.9057,0.6964,0.0566,0.1132,0.6667,0.0213,0.3333,0.9787
Asian-Pac-Islander + Male,238,0.7857,0.7527,0.2983,0.3361,0.3750,0.1329,0.6250,0.8671
Other + Female,26,0.9231,0.7292,0.0769,0.0769,0.5000,0.0417,0.5000,0.9583
Other + Male,62,0.9194,0.8104,0.0968,0.1452,0.4444,0.0189,0.5556,0.9811
