Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Bachelors,2071,0.8001,0.7955,0.4346,0.4153,0.2174,0.1874,0.7826,0.8126
9th,187,0.9679,0.4918,0.0000,0.0321,1.0000,0.0000,0.0000,1.0000
HS-grad,4011,0.8504,0.6990,0.1331,0.1576,0.5522,0.0743,0.4478,0.9257
Assoc-voc,497,0.7827,0.7279,0.2857,0.2656,0.3712,0.1616,0.6288,0.8384
Prof-school,224,0.8661,0.8193,0.8080,0.7009,0.0191,0.4030,0.9809,0.5970
10th,355,0.9183,0.6560,0.0479,0.0789,0.7143,0.0275,0.2857,0.9725
Some-college,2683,0.8479,0.7338,0.1625,0.1826,0.4714,0.0807,0.5286,0.9193
7th-8th,249,0.9197,0.5942,0.0161,0.0884,0.8636,0.0044,0.1364,0.9956
Masters,637,0.7975,0.7939,0.5730,0.5589,0.1685,0.2456,0.8315,0.7544
11th,442,0.9570,0.6824,0.0226,0.0475,0.7143,0.0095,0.2857,0.9905
5th-6th,99,0.9091,0.4762,0.0000,0.0909,1.0000,0.0000,0.0000,1.0000
Assoc-acdm,379,0.7836,0.7267,0.3008,0.2427,0.3261,0.1812,0.6739,0.8188
Preschool,22,1.0000,1.0000,0.0455,0.0455,0.0000,0.0000,1.0000,1.0000
12th,154,0.9351,0.7326,0.0455,0.0844,0.6154,0.0142,0.3846,0.9858
Doctorate,155,0.7290,0.6668,0.7742,0.6581,0.1176,0.5660,0.8824,0.4340
1st-4th,46,0.9783,0.4945,0.0000,0.0217,1.0000,0.0000,0.0000,1.0000
