Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
United-States,10993,0.8419,0.7833,0.2370,0.2430,0.3377,0.1005,0.6623,0.8995
Ireland,12,0.7500,0.7333,0.3333,0.4167,0.4000,0.1429,0.6000,0.8571
Cuba,30,0.8667,0.8137,0.2000,0.2667,0.3750,0.0455,0.6250,0.9545
?,209,0.8421,0.7976,0.2584,0.2727,0.3158,0.0987,0.6842,0.9013
Puerto-Rico,49,0.9796,0.9388,0.1020,0.0816,0.0000,0.0222,1.0000,0.9778
Philippines,73,0.8767,0.8371,0.2877,0.2192,0.1250,0.1228,0.8750,0.8772
China,32,0.8125,0.7681,0.2500,0.3125,0.4000,0.0909,0.6000,0.9091
Germany,54,0.8333,0.7778,0.2407,0.2593,0.3571,0.1000,0.6429,0.9000
Mexico,211,0.9573,0.5800,0.0237,0.0284,0.8333,0.0195,0.1667,0.9805
Peru,11,1.0000,1.0000,0.0909,0.0909,0.0000,0.0000,1.0000,1.0000
India,36,0.6667,0.6656,0.4722,0.4722,0.3529,0.3158,0.6471,0.6842
Guatemala,21,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
Taiwan,15,0.8000,0.7964,0.4000,0.4667,0.2857,0.1250,0.7143,0.8750
Vietnam,23,0.8261,0.6167,0.2174,0.0435,0.0000,0.1818,1.0000,0.8182
Jamaica,26,0.8462,0.6232,0.0385,0.1923,0.8000,0.0000,0.2000,1.0000
Hungary,4,1.0000,1.0000,0.2500,0.2500,0.0000,0.0000,1.0000,1.0000
Portugal,10,0.7000,0.4118,0.0000,0.3000,1.0000,0.0000,0.0000,1.0000
Greece,14,0.6429,0.6410,0.5000,0.5714,0.3750,0.3333,0.6250,0.6667
Haiti,20,0.9500,0.8857,0.1000,0.1500,0.3333,0.0000,0.6667,1.0000
Nicaragua,17,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
South,26,0.8462,0.8045,0.2692,0.2692,0.2857,0.1053,0.7143,0.8947
France,7,0.4286,0.4167,0.7143,0.4286,0.3333,0.7500,0.6667,0.2500
Canada,48,0.7708,0.7166,0.2083,0.3542,0.5294,0.0645,0.4706,0.9355
El-Salvador,35,1.0000,1.0000,0.1143,0.1143,0.0000,0.0000,1.0000,1.0000
England,38,0.7632,0.7039,0.2105,0.3421,0.5385,0.0800,0.4615,0.9200
Poland,18,0.7778,0.6786,0.1111,0.3333,0.6667,0.0000,0.3333,1.0000
Outlying-US(Guam-USVI-etc),9,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
Honduras,9,0.8889,0.4706,0.0000,0.1111,1.0000,0.0000,0.0000,1.0000
Dominican-Republic,20,0.9500,0.8857,0.1500,0.1000,0.0000,0.0556,1.0000,0.9444
Italy,28,0.7500,0.6813,0.1786,0.3571,0.6000,0.0556,0.4000,0.9444
Trinadad&Tobago,10,0.9000,0.8039,0.2000,0.1000,0.0000,0.1111,1.0000,0.8889
Iran,14,0.6429,0.5906,0.4286,0.2143,0.3333,0.3636,0.6667,0.6364
Columbia,19,0.9474,0.8190,0.1053,0.0526,0.0000,0.0556,1.0000,0.9444
Hong,7,0.7143,0.4167,0.1429,0.1429,1.0000,0.1667,0.0000,0.8333
Yugoslavia,7,0.4286,0.3000,0.2857,0.2857,1.0000,0.4000,0.0000,0.6000
Ecuador,7,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
Cambodia,7,0.7143,0.7083,0.2857,0.5714,0.5000,0.0000,0.5000,1.0000
Japan,23,0.8261,0.7946,0.3043,0.3043,0.2857,0.1250,0.7143,0.8750
Scotland,5,1.0000,1.0000,0.2000,0.2000,0.0000,0.0000,1.0000,1.0000
Laos,6,0.8333,0.7778,0.1667,0.3333,0.5000,0.0000,0.5000,1.0000
Thailand,8,0.7500,0.4286,0.2500,0.0000,0,0.2500,0,0.7500
