Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Other-service,1248,0.9463,0.6669,0.0401,0.0441,0.6545,0.0260,0.3455,0.9740
Farming-fishing,370,0.8459,0.6558,0.1324,0.1243,0.5870,0.0926,0.4130,0.9074
Sales,1368,0.8231,0.7641,0.2383,0.2617,0.3827,0.1040,0.6173,0.8960
Exec-managerial,1472,0.7928,0.7928,0.5041,0.5061,0.2067,0.2077,0.7933,0.7923
Craft-repair,1564,0.7916,0.6944,0.2148,0.2212,0.4855,0.1297,0.5145,0.8703
Prof-specialty,1568,0.8106,0.8074,0.4420,0.4298,0.2062,0.1767,0.7938,0.8233
Machine-op-inspct,727,0.8446,0.6738,0.1279,0.1486,0.5926,0.0792,0.4074,0.9208
Tech-support,394,0.8173,0.7691,0.2411,0.3020,0.4034,0.0873,0.5966,0.9127
Adm-clerical,1413,0.8903,0.7584,0.1281,0.1331,0.4309,0.0604,0.5691,0.9396
?,715,0.9133,0.7222,0.0741,0.0965,0.5652,0.0356,0.4348,0.9644
Handlers-cleaners,514,0.9163,0.7052,0.0837,0.0700,0.5000,0.0523,0.5000,0.9477
Transport-moving,576,0.8177,0.6836,0.1615,0.1875,0.5556,0.0962,0.4444,0.9038
Protective-serv,229,0.7336,0.6875,0.3231,0.2926,0.4030,0.2099,0.5970,0.7901
Priv-house-serv,52,0.9615,0.8231,0.0577,0.0577,0.3333,0.0204,0.6667,0.9796
Armed-Forces,1,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
