Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
White + Female,3261,0.9172,0.7913,0.1030,0.1202,0.4158,0.0373,0.5842,0.9627
Black + Male,600,0.8683,0.7639,0.1567,0.1783,0.4299,0.0669,0.5701,0.9331
White + Male,7181,0.7988,0.7664,0.3121,0.3158,0.3245,0.1443,0.6755,0.8557
Black + Female,586,0.9539,0.7921,0.0546,0.0631,0.4324,0.0200,0.5676,0.9800
Amer-Indian-Eskimo + Male,73,0.8904,0.7192,0.1507,0.0685,0.2000,0.1029,0.8000,0.8971
Asian-Pac-Islander + Female,131,0.9160,0.7729,0.0840,0.1221,0.5000,0.0261,0.5000,0.9739
Amer-Indian-Eskimo + Female,53,0.9434,0.8478,0.0943,0.1132,0.3333,0.0213,0.6667,0.9787
Asian-Pac-Islander + Male,238,0.7647,0.7438,0.3782,0.3361,0.2875,0.2089,0.7125,0.7911
Other + Female,26,0.9231,0.7292,0.0769,0.0769,0.5000,0.0417,0.5000,0.9583
Other + Male,62,0.9032,0.8050,0.1452,0.1452,0.3333,0.0566,0.6667,0.9434
