section,model,dataset,n_runs,agree_pct,mode_value
attr_agreement,deepseek,GermanCredit.csv,10,20.0,"['age', 'personal_status_sex']"
attr_agreement,deepseek,adult-all.csv,10,50.0,"['Age', 'Education', 'Marital-status', 'Native-country', 'Occupation', 'Race', 'Relationship', 'Sex']"
attr_agreement,openrouter,GermanCredit.csv,10,100.0,"['age', 'foreign_worker', 'job', 'personal_status_sex']"
attr_agreement,openrouter,adult-all.csv,10,70.0,"['Age', 'Education', 'Marital-status', 'Native-country', 'Occupation', 'Race', 'Relationship', 'Sex', 'Workclass']"
attr_agreement,qwen,GermanCredit.csv,10,20.0,"['age', 'credit_history', 'employment_duration', 'job', 'other_debtors', 'personal_status_sex', 'property', 'savings', 'status']"
attr_agreement,qwen,adult-all.csv,10,60.0,"['Age', 'Education', 'Marital-status', 'Native-country', 'Race', 'Sex']"
jaccard,deepseek vs openrouter,GermanCredit.csv,,0.5,
jaccard,deepseek vs qwen,GermanCredit.csv,,0.222,
jaccard,openrouter vs qwen,GermanCredit.csv,,0.3,
jaccard,deepseek vs openrouter,adult-all.csv,,0.889,
jaccard,deepseek vs qwen,adult-all.csv,,0.75,
jaccard,openrouter vs qwen,adult-all.csv,,0.667,
discretization,deepseek,GermanCredit.csv,9,55.6,"['Young', 'Middle-Aged', 'Senior', 'Elderly']"
discretization,deepseek,adult-all.csv,10,50.0,"['Young', 'Middle-Aged', 'Senior', 'Elderly']"
discretization,deepseek,adult-all.csv,1,100.0,"['Part-time', 'Full-time (moderate)', 'Full-time (high)', 'High-commitment', 'Senior roles']"
discretization,openrouter,GermanCredit.csv,10,70.0,"['Young', 'Middle-Aged', 'Senior', 'Elderly']"
discretization,openrouter,adult-all.csv,10,40.0,"['Young', 'Middle-Aged', 'Senior', 'Elderly']"
discretization,qwen,GermanCredit.csv,10,30.0,"['Young', 'Middle-Aged', 'Senior']"
discretization,qwen,adult-all.csv,10,40.0,"['Teen', 'Young Adult', 'Middle-Aged', 'Mature', 'Senior']"
pair_selection,deepseek,GermanCredit.csv,10,40.0,[]
pair_selection,deepseek,adult-all.csv,10,40.0,"['Age + Education', 'Race + Sex']"
pair_selection,openrouter,GermanCredit.csv,10,70.0,"['age + personal_status_sex', 'job + personal_status_sex']"
pair_selection,openrouter,adult-all.csv,10,90.0,"['Age + Sex', 'Race + Sex']"
pair_selection,qwen,GermanCredit.csv,10,20.0,"['age + employment_duration', 'personal_status_sex + status']"
pair_selection,qwen,adult-all.csv,10,50.0,"['Age + Marital-status', 'Race + Sex']"
